"rank","wallet_address","total_points","percentile","network_share","top_source","top_source_points","exported_at"
"1","DTjNdfYmKpwGjnX6UPGvxwXQ7PZEGM7M43BQLtyASnvh","15862984024","0.005284574327537916","10.956666060041243","Loopscale · ONyc","10927179795","2026-07-24T06:12:39.311Z"
"2","E3NiM5n6s5CKKWrrhaeVjVSTKscRrysCtZeXnxn6yMgp","7189809326","0.010569148655075833","4.966047983227308","Kamino · ONyc","6637635633","2026-07-24T06:12:39.311Z"
"3","AR6xVAao2vkxK716v1F1AcWwZbFYuBGLSE3T5Dto219n","5367031680","0.015853722982613748","3.707043628263956","Kamino · ONyc","2994397285","2026-07-24T06:12:39.311Z"
"4","63jW9AKCZxSPrUgPtk53DSaz6AR6Tz38abgewvnTEjG8","4131771521","0.021138297310151665","2.8538414161858503","Loopscale · ONyc","3603715937","2026-07-24T06:12:39.311Z"
"5","2y2TFrza1RokBcqBheMURD4fGhnX84yoDCLmgigUaU1m","2757771142","0.026422871637689582","1.9048104333457772","Kamino · USDC","2191813080","2026-07-24T06:12:39.311Z"
"6","ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr","2263768118","0.031707445965227496","1.5635993372222812","Exponent · Liquidity position","901129128","2026-07-24T06:12:39.311Z"
"7","7p6LQRCo24aMkNHmiDahBXMFqkW3MFbny629qdR2J1A5","1877495010","0.03699202029276542","1.296797993545265","Kamino · ONyc","1334890365","2026-07-24T06:12:39.311Z"
"8","3NQrjCmHTZhpeLHoiQii2nHAvuKqTbX6vREMGrfpRJmF","1167580797","0.04227659462030333","0.806455637318355","Wallet holdings","425610952","2026-07-24T06:12:39.311Z"
"9","WtvGEMbV7mLvsB7kaYmR4yLU3EAfDkajbZdz5XR4JtK","1100528136","0.04756116894784125","0.7601419290083282","Wallet holdings","425554496","2026-07-24T06:12:39.311Z"
"10","9juHJ9is1tiE6gZMdhkCQdy9dXeM3HQ17P82pAda9r6g","1049486199","0.052845743275379164","0.7248869317190072","Loopscale · USDC","768757777","2026-07-24T06:12:39.311Z"
"11","FEt4w2awxsxr2P4Mcbo5Z2XuxLBbv3xTJRJ5EY1AA1fS","1022306549","0.058130317602917085","0.7061137709928635","Elemental","1022271559","2026-07-24T06:12:39.311Z"
"12","24gaFTvHRbtJZ6DaFvo1geT5xZcfPQJUvFKqZRGLBSox","1014179368","0.06341489193045499","0.7005002743082683","Kamino · ONyc","954486917","2026-07-24T06:12:39.311Z"
"13","4yhXa4iERFGma3T1HMMjH8nJ8EdFqbahCV5Yomm8Z3do","998524449","0.06869946625799292","0.6896873201112216","Kamino · ONyc","759905565","2026-07-24T06:12:39.311Z"
"14","DW73f8azs8ymsriRMiKcBBrB2i8tSaDV7Gy2GLa6F7t1","992039106","0.07398404058553083","0.6852078515932984","Carrot","992039106","2026-07-24T06:12:39.311Z"
"15","8ddc12hR2ePg4UkkWcecd9ShcNJyHrkBpLDjd8Yjn4GG","898093697","0.07926861491306875","0.620319147631316","Exponent · Yield token","820017545","2026-07-24T06:12:39.311Z"
